Supplier_Name,Supplier_Code,Pickup_Street,Pickup_ZIP,Pickup_City,Pickup_Country,Destination_ID,Destination_Name,Destination_Street,Destination_ZIP,Destination_City,Destination_Country,Pallets_per_Week,Weight_per_Week_kg,Pallet_Length_cm,Pallet_Width_cm,Pallet_Height_cm,Stack_Levels,Max_Transit_Time_days,Preferred_Delivery_Days,Flexibility_Level,Max_Truck_Type,Historical_Cost_per_Truck,Preferred_Carrier
Hella GmbH,SUP-0014,Rixbecker Str. 75,59552,Lippstadt,Germany,BREMEN,Mercedes-Benz Plant,Sebaldsbrücker Heerstr. 36,28309,Bremen,Germany,9,3600,120,80,160,2,2,Tue,High,Standard Trailer,980,Dachser
Webasto SE,SUP-0015,Kraillinger Str. 5,82131,Stockdorf,Germany,BREMEN,Mercedes-Benz Plant,Sebaldsbrücker Heerstr. 36,28309,Bremen,Germany,5,2000,120,80,190,1,3,Wed,High,Mega Trailer,,
Aptiv PLC,SUP-0016,ul. Podole 21,30394,Krakow,Poland,POZNAN,Volkswagen Plant,ul. Warszawska 349,61001,Poznan,Poland,30,12000,120,80,160,2,1,Mon;Tue;Thu,Low,Standard Trailer,1100,Raben
Delphi Technologies,SUP-0017,ul. Legnicka 48,54202,Wroclaw,Poland,POZNAN,Volkswagen Plant,ul. Warszawska 349,61001,Poznan,Poland,22,8800,120,80,150,2,1,Mon;Wed;Fri,Medium,Standard Trailer,980,Raben
TRW Automotive,SUP-0018,ul. Jana Pawła II 1,43502,Czechowice,Poland,POZNAN,Volkswagen Plant,ul. Warszawska 349,61001,Poznan,Poland,12,4800,120,80,160,2,2,Tue;Fri,High,Standard Trailer,870,DSV
Lear Corporation,SUP-0019,ul. Towarowa 1,43100,Tychy,Poland,POZNAN,Volkswagen Plant,ul. Warszawska 349,61001,Poznan,Poland,8,3200,120,80,180,1,2,Thu,High,Mega Trailer,,
Automotive Lighting,SUP-0020,Siemensstr. 8,72764,Reutlingen,Germany,MUNICH,BMW Plant,Petuelring 130,80788,Munich,Germany,18,7200,120,80,160,2,1,Mon;Thu,Medium,Standard Trailer,750,Dachser
SL Power Electronics,SUP-0021,Donaustr. 39,87700,Memmingen,Germany,MUNICH,BMW Plant,Petuelring 130,80788,Munich,Germany,11,4400,120,80,140,3,1,Tue;Fri,High,Standard Trailer,680,DB Schenker
Kostal Group,SUP-0022,An der Bellmerei 4,58513,Luedenscheid,Germany,MUNICH,BMW Plant,Petuelring 130,80788,Munich,Germany,7,2800,120,80,130,3,2,Wed,High,Mega Trailer,,
Yazaki Europe,SUP-0023,Eisenstr. 1,50769,Cologne,Germany,COLOGNE,Ford Plant,Henry-Ford-Str. 1,50725,Cologne,Germany,35,14000,120,80,160,2,1,Mon;Wed;Fri,Low,Standard Trailer,420,Geodis
Sumitomo Electric,SUP-0024,Halskestr. 38,40880,Dusseldorf,Germany,COLOGNE,Ford Plant,Henry-Ford-Str. 1,50725,Cologne,Germany,28,11200,120,80,160,2,1,Mon;Wed;Fri,Low,Standard Trailer,390,Kuehne+Nagel
Hutchinson SA,SUP-0025,2 Rue Balzac,75008,Paris,France,SOCHAUX,PSA Peugeot,Centre Technique,25600,Sochaux,France,15,6000,120,80,150,2,2,Tue;Fri,Medium,Standard Trailer,,
